Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan,Belanja online/offline; Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Netral
Komik/Novel Grafis; Mainan/Collectible item,Website Gramedia.com,Untuk mengekspresikan kreativitas; Kado atau hadiah,Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Musik; Alat Olahraga; Mainan/Collectible item,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan; Hiburan atau relaksasi,Travelling; Melukis atau menggambar ; Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak); Mainan",Setuju,Netral,Setuju,Sangat Tidak Setuju
Buku Anak,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah,Membaca buku atau majalah ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Netral,Sangat Tidak Setuju,Setuju
Perlengkapan Kantor atau Sekolah; Buku Anak,Toko alat tulis lainnya,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan,Olahraga; Belanja online/offline,"Buku fiksi (novel, komik, buku anak)",Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Perlengkapan Kantor atau Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi",Belanja online/offline; Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Tulis kantor atau sekolah; Kesehatan dan Kecantikan",Netral,Sangat Setuju,Setuju,Sangat Setuju
Mainan/Collectible item; Perlengkapan Seni/Kreatif,Toko Gramedia,Untuk mengekspresikan kreativitas; Hiburan atau relaksasi; Menambah pengetahuan,Belanja online/offline; Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Sangat Tidak Setuju,Setuju,Netral,Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Mainan/Collectible item; Komik/Novel Grafis",Toko buku independen lainnya,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,"Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan; Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Tidak Setuju,Sangat Setuju,Sangat Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Musik",Toko buku independen lainnya,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya); Membaca buku atau majalah ","Alat Olahraga; Buku fiksi (novel, komik, buku anak); Alat Tulis kantor atau sekolah",Setuju,Setuju,Sangat Tidak Setuju,Netral
Komik/Novel Grafis; Buku Anak; Mainan/Collectible item,Toko buku independen lainnya,Hiburan atau relaksasi,Bermain musik; Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama); Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian",Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
Buku Anak,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas","Travelling; Menulis (diari, blog, atau lainnya); Melukis atau menggambar ","Kesehatan dan Kecantikan; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju
Mainan/Collectible item; Alat Tulis Umum (Kantor/Sekolah); Jurnal/Perencana (Planner),Toko Gramedia,"Menambah pengetahuan; Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak); Alat Olahraga; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Netral,Netral,Sangat Tidak Setuju
Alat Musik,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Membaca buku atau majalah ,"Alat Olahraga; Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Untuk mengekspresikan kreativitas; Menambah pengetahuan,Olahraga,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah); Perlengkapan Seni/Kreatif; Jurnal/Perencana (Planner),Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah ; Melukis atau menggambar ,Alat Musik & kesenian; Alat Olahraga; Mainan,Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Olahraga; Perlengkapan Seni/Kreatif; Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,Menambah pengetahuan,Olahraga; Menghadiri acara budaya atau edukasi; Bermain game (offline/online),Mainan,Sangat Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju
Alat Musik; Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Menghadiri acara budaya atau edukasi; Travelling; Olahraga,"Kesehatan dan Kecantikan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian",Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju
Alat Musik; Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Menambah pengetahuan,Menghadiri acara budaya atau edukasi,"Mainan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian",Sangat Setuju,Setuju,Netral,Setuju
Jurnal/Perencana (Planner),Website Gramedia.com,"Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,"Mainan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Setuju,Sangat Tidak Setuju,Setuju
Alat Musik,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas; Kado atau hadiah,Belanja online/offline; Menghadiri acara budaya atau edukasi,"Alat Musik & kesenian; Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Setuju,Setuju,Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Hiburan atau relaksasi; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Belanja online/offline,Alat Musik & kesenian,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Buku Anak; Komik/Novel Grafis; Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya); Melukis atau menggambar ",Mainan; Alat Olahraga; Alat Musik & kesenian,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
"Perlengkapan Seni/Kreatif; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah ,"Buku non-fiksi (pengembangan diri, sejarah, agama); Mainan",Netral,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Perlengkapan Kantor atau Sekolah; Buku Anak; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Travelling,Alat Musik & kesenian,Netral,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Musik",Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar ; Menghadiri acara budaya atau edukasi,"Mainan; Kesehatan dan Kecantikan; Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
Novel Fiksi; Alat Tulis Umum (Kantor/Sekolah); Jurnal/Perencana (Planner),Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Setuju,Setuju,Netral
"Novel Fiksi; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Menambah pengetahuan,Bermain game (offline/online); Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama); Kesehatan dan Kecantikan",Setuju,Sangat Setuju,Netral,Netral
Buku Anak,Toko buku independen lainnya,Hiburan atau relaksasi; Kado atau hadiah,Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Tidak Setuju,Setuju,Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Perlengkapan Seni/Kreatif; Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Melukis atau menggambar ,"Buku fiksi (novel, komik, buku anak); Alat Musik & kesenian",Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
Buku Anak,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga; Bermain game (offline/online),Mainan; Alat Olahraga; Alat Tulis kantor atau sekolah,Tidak Setuju,Netral,Sangat Setuju,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah); Perlengkapan Seni/Kreatif; Novel Fiksi,Toko Gramedia,Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Travelling,"Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Netral,Tidak Setuju,Netral
Alat Olahraga,Toko buku independen lainnya,Menambah pengetahuan,Bermain musik; Olahraga,Alat Musik & kesenian; Alat Tulis kantor atau sekolah,Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Mainan/Collectible item; Jurnal/Perencana (Planner); Novel Fiksi,Toko buku independen lainnya,Untuk mengekspresikan kreativitas; Kado atau hadiah; Menambah pengetahuan,Olahraga; Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Musik & kesenian",Netral,Setuju,Netral,Tidak Setuju
"Komik/Novel Grafis; Jurnal/Perencana (Planner); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Menambah pengetahuan,Melukis atau menggambar ; Bermain game (offline/online),Kesehatan dan Kecantikan; Alat Olahraga; Alat Tulis kantor atau sekolah,Netral,Netral,Netral,Tidak Setuju
"Alat Olahraga; Alat Tulis Umum (Kantor/Sekolah); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik; Belanja online/offline; Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Tidak Setuju,Tidak Setuju,Sangat Setuju,Setuju
Mainan/Collectible item,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi; Untuk mengekspresikan kreativitas",Olahraga; Membaca buku atau majalah ,Alat Musik & kesenian; Alat Tulis kantor atau sekolah,Sangat Setuju,Sangat Setuju,Tidak Setuju,Netral
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Buku Anak; Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan; Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi; Olahraga,"Buku fiksi (novel, komik, buku anak); Alat Tulis kantor atau sekolah; Alat Olahraga",Netral,Tidak Setuju,Sangat Setuju,Tidak Setuju
Novel Fiksi; Alat Tulis Umum (Kantor/Sekolah); Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline; Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama); Mainan",Setuju,Tidak Setuju,Setuju,Tidak Setuju
"Komik/Novel Grafis; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan; Hiburan atau relaksasi",Bermain game (offline/online); Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Tulis kantor atau sekolah; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Sangat Setuju,Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Hiburan atau relaksasi,Melukis atau menggambar ; Olahraga; Membaca buku atau majalah ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku fiksi (novel, komik, buku anak); Alat Musik & kesenian",Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Jurnal/Perencana (Planner); Alat Olahraga",Toko Gramedia,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Melukis atau menggambar ,"Buku fiksi (novel, komik, buku anak); Alat Musik & kesenian; Alat Olahraga",Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling; Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Netral,Tidak Setuju,Setuju
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline; Membaca buku atau majalah ,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju
Jurnal/Perencana (Planner),Toko alat tulis lainnya,Hiburan atau relaksasi; Kado atau hadiah,Belanja online/offline,Alat Tulis kantor atau sekolah; Alat Musik & kesenian; Alat Olahraga,Setuju,Sangat Setuju,Netral,Netral
Alat Musik; Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar ; Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Olahraga; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
Buku Anak,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan",Melukis atau menggambar ; Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak); Mainan; Kesehatan dan Kecantikan",Tidak Setuju,Setuju,Setuju,Setuju
"Alat Tulis Umum (Kantor/Sekolah); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi; Olahraga; Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian,Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju
Jurnal/Perencana (Planner),Toko Gramedia,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi,Alat Musik & kesenian; Kesehatan dan Kecantikan; Mainan,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Perlengkapan Kantor atau Sekolah; Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online); Membaca buku atau majalah ,"Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak); Alat Olahraga",Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju
Mainan/Collectible item; Perlengkapan Kantor atau Sekolah,Toko Gramedia,Untuk mengekspresikan kreativitas,Membaca buku atau majalah ,Alat Olahraga,Tidak Setuju,Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Musik,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Travelling,"Alat Olahraga; Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Netral,Setuju,Tidak Setuju
Mainan/Collectible item,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online); Membaca buku atau majalah ,"Alat Tulis kantor atau sekolah; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas; Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah ; Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama); Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Netral
Alat Olahraga,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas; Hiburan atau relaksasi,"Bermain game (offline/online); Menulis (diari, blog, atau lainnya); Melukis atau menggambar ","Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Tulis kantor atau sekolah",Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
"Komik/Novel Grafis; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Jurnal/Perencana (Planner)",Toko buku independen lainnya,Untuk mengekspresikan kreativitas; Kado atau hadiah,"Menulis (diari, blog, atau lainnya); Melukis atau menggambar ; Belanja online/offline","Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Mainan",Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Olahraga; Jurnal/Perencana (Planner); Komik/Novel Grafis,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas; Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi,Alat Musik & kesenian; Mainan,Sangat Setuju,Sangat Tidak Setuju,Setuju,Netral
Alat Tulis Umum (Kantor/Sekolah); Buku Anak,Toko buku independen lainnya,Kado atau hadiah,Olahraga; Belanja online/offline; Melukis atau menggambar ,"Alat Tulis kantor atau sekolah; Buku non-fiksi (pengembangan diri, sejarah, agama); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Netral
"Mainan/Collectible item; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi,Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Netral
Alat Tulis Umum (Kantor/Sekolah); Perlengkapan Seni/Kreatif; Buku Anak,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan","Menulis (diari, blog, atau lainnya); Bermain musik",Mainan,Tidak Setuju,Netral,Netral,Sangat Setuju
"Alat Musik; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas; Hiburan atau relaksasi,Belanja online/offline; Menghadiri acara budaya atau edukasi; Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Alat Musik; Alat Olahraga,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,Kesehatan dan Kecantikan,Netral,Setuju,Netral,Sangat Tidak Setuju
Novel Fiksi,Toko Gramedia,Kado atau hadiah; Menambah pengetahuan,Bermain game (offline/online),"Alat Olahraga; Mainan; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Tidak Setuju,Setuju,Setuju
"Alat Tulis Umum (Kantor/Sekolah); Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya); Bermain game (offline/online)","Alat Olahraga; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Tidak Setuju,Netral
Alat Musik; Novel Fiksi; Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak); Mainan; Alat Olahraga",Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Setuju
Novel Fiksi; Mainan/Collectible item,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar ; Membaca buku atau majalah ; Travelling,Alat Musik & kesenian,Sangat Tidak Setuju,Tidak Setuju,Setuju,Tidak Setuju
Mainan/Collectible item; Perlengkapan Kantor atau Sekolah; Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,Kado atau hadiah; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Travelling,Alat Olahraga; Alat Tulis kantor atau sekolah; Alat Musik & kesenian,Sangat Setuju,Setuju,Setuju,Setuju
Perlengkapan Seni/Kreatif,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar ; Membaca buku atau majalah ,Alat Tulis kantor atau sekolah,Netral,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik; Travelling,"Alat Musik & kesenian; Mainan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah); Buku Anak; Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi; Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Hiburan atau relaksasi,Travelling,Alat Tulis kantor atau sekolah,Netral,Setuju,Tidak Setuju,Sangat Tidak Setuju
Jurnal/Perencana (Planner); Komik/Novel Grafis; Perlengkapan Seni/Kreatif,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah,"Belanja online/offline; Travelling; Menulis (diari, blog, atau lainnya)","Kesehatan dan Kecantikan; Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Tulis kantor atau sekolah",Netral,Tidak Setuju,Sangat Setuju,Setuju
Jurnal/Perencana (Planner); Alat Musik; Alat Olahraga,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar ; Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Tidak Setuju,Setuju,Sangat Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi; Olahraga; Bermain game (offline/online),"Alat Tulis kantor atau sekolah; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Netral,Tidak Setuju,Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Seni/Kreatif; Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Bermain musik,Mainan,Tidak Setuju,Tidak Setuju,Sangat Setuju,Setuju
"Alat Tulis Umum (Kantor/Sekolah); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas; Hiburan atau relaksasi,Travelling; Membaca buku atau majalah ; Melukis atau menggambar ,"Buku fiksi (novel, komik, buku anak); Alat Tulis kantor atau sekolah; Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Setuju,Setuju,Tidak Setuju
Mainan/Collectible item; Buku Anak,Toko alat tulis lainnya,Hiburan atau relaksasi; Kado atau hadiah,"Menulis (diari, blog, atau lainnya)",Mainan; Kesehatan dan Kecantikan; Alat Musik & kesenian,Tidak Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Mainan/Collectible item",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas; Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya); Menghadiri acara budaya atau edukasi","Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju
Alat Musik; Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,"Alat Olahraga; Mainan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Setuju,Sangat Setuju,Tidak Setuju
