Produk sering beli,Saluran belanja,Motivasi utama pembelian
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Alat Musik",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Novel Fiksi, Perlengkapan Seni/Kreatif",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Toko Gramedia,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
Mainan/Collectible item,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Mainan/Collectible item",Toko alat tulis lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Novel Fiksi, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item",Aplikasi Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
Mainan/Collectible item,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi, Mainan/Collectible item",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Kado atau hadiah
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Toko Gramedia,Menambah pengetahuan
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Hiburan atau relaksasi, Menambah pengetahuan"
Komik/Novel Grafis,Toko buku independen lainnya,"Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Buku Anak,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Aplikasi Gramedia.com,Kado atau hadiah
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Kado atau hadiah, Hiburan atau relaksasi"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah
"Alat Musik, Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Menambah pengetahuan"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah, Novel Fiksi",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Kado atau hadiah"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Buku Anak",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Mainan/Collectible item, Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Musik, Mainan/Collectible item",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri
Alat Tulis Umum (Kantor/Sekolah),Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item",Toko buku independen lainnya,Untuk mengekspresikan kreativitas
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Hiburan atau relaksasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Aplikasi Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Jurnal/Perencana (Planner), Buku Anak, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Kantor atau Sekolah, Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Komik/Novel Grafis, Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,Menambah pengetahuan
Alat Musik,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Tulis Umum (Kantor/Sekolah), Alat Musik",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Alat Musik, Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Anak, Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Jurnal/Perencana (Planner),Website Gramedia.com,Hiburan atau relaksasi
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Kado atau hadiah"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Menambah pengetahuan"
"Alat Olahraga, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas
"Perlengkapan Kantor atau Sekolah, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
Buku Anak,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah"
"Komik/Novel Grafis, Alat Musik, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Alat Olahraga, Buku Anak, Novel Fiksi",Toko buku independen lainnya,"Kado atau hadiah, Menambah pengetahuan"
Buku Anak,Website Gramedia.com,Hiburan atau relaksasi
"Buku Anak, Perlengkapan Seni/Kreatif, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Untuk mengekspresikan kreativitas
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Hiburan atau relaksasi
"Mainan/Collectible item, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Alat Musik",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Hiburan atau relaksasi"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Alat Olahraga, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan
"Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Kado atau hadiah, Menambah pengetahuan"
"Novel Fiksi, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Musik, Buku Anak",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Jurnal/Perencana (Planner),Website Gramedia.com,"Menambah pengetahuan, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
Perlengkapan Seni/Kreatif,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan"
"Mainan/Collectible item, Buku Anak, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan"
"Novel Fiksi, Alat Olahraga, Komik/Novel Grafis",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Buku Anak, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Novel Fiksi,Toko buku independen lainnya,Kado atau hadiah
"Alat Olahraga, Alat Musik",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Jurnal/Perencana (Planner), Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,Kado atau hadiah
Alat Musik,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Novel Fiksi, Alat Musik, Alat Olahraga",Aplikasi Gramedia Digital (ebook),Kado atau hadiah
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Alat Olahraga",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Mainan/Collectible item, Alat Musik, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas
Alat Musik,Toko Gramedia,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah"
Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi
"Alat Olahraga, Perlengkapan Seni/Kreatif",Website Gramedia.com,Hiburan atau relaksasi
Alat Musik,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
Komik/Novel Grafis,Toko Gramedia,Hiburan atau relaksasi
"Perlengkapan Kantor atau Sekolah, Alat Musik",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Website Gramedia.com,Untuk mengekspresikan kreativitas
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Mainan/Collectible item,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),Kado atau hadiah
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Buku Anak",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
Novel Fiksi,Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Alat Olahraga, Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Mainan/Collectible item, Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Toko Gramedia,"Menambah pengetahuan, Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Menambah pengetahuan
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
Komik/Novel Grafis,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif",Toko Gramedia,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Anak, Alat Musik",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan"
