Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,"Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi, Bermain musik"
"Jurnal/Perencana (Planner), Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Menambah pengetahuan",Bermain game (offline/online) = Aktivitas Rekreasional
Jurnal/Perencana (Planner),Toko Gramedia,Menambah pengetahuan,"Menulis (diari, blog, atau lainnya), Travelling"
Buku Anak,Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah",Bermain musik
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,"Melukis atau menggambar = Seni, Menghadiri acara budaya atau edukasi, Belanja online/offline = Lifestyle"
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline = Lifestyle, Travelling"
"Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Melukis atau menggambar = Seni, Bermain game (offline/online) = Aktivitas Rekreasional, Menulis (diari, blog, atau lainnya)"
Buku Anak,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Olahraga, Bermain game (offline/online) = Aktivitas Rekreasional, Menulis (diari, blog, atau lainnya)"
Mainan/Collectible item,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Kado atau hadiah","Melukis atau menggambar = Seni, Menghadiri acara budaya atau edukasi"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Bermain musik, Membaca buku atau majalah = Literasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko buku independen lainnya,Kado atau hadiah,Travelling
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Bermain musik, Menulis (diari, blog, atau lainnya), Travelling"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online) = Aktivitas Rekreasional
"Novel Fiksi, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi, Bermain musik"
Mainan/Collectible item,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Bermain game (offline/online) = Aktivitas Rekreasional, Menulis (diari, blog, atau lainnya)"
"Buku Anak, Mainan/Collectible item, Komik/Novel Grafis",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Olahraga
"Alat Musik, Perlengkapan Kantor atau Sekolah, Novel Fiksi",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko Gramedia,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Travelling
"Mainan/Collectible item, Buku Anak",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Belanja online/offline = Lifestyle, Travelling"
"Komik/Novel Grafis, Mainan/Collectible item",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain musik
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain musik, Travelling, Menghadiri acara budaya atau edukasi"
Alat Olahraga,Toko Gramedia,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online) = Aktivitas Rekreasional, Belanja online/offline = Lifestyle"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar = Seni, Menghadiri acara budaya atau edukasi"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Bermain musik
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain musik, Menghadiri acara budaya atau edukasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Mainan/Collectible item",Website Gramedia.com,Kado atau hadiah,Menghadiri acara budaya atau edukasi
"Perlengkapan Seni/Kreatif, Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Kado atau hadiah,Membaca buku atau majalah = Literasi
"Jurnal/Perencana (Planner), Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online) = Aktivitas Rekreasional, Bermain musik"
Perlengkapan Seni/Kreatif,Toko buku independen lainnya,Kado atau hadiah,"Belanja online/offline = Lifestyle, Bermain musik, Melukis atau menggambar = Seni"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
Buku Anak,Toko buku independen lainnya,Hiburan atau relaksasi,"Melukis atau menggambar = Seni, Olahraga"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Bermain musik, Olahraga"
Novel Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Musik, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah = Literasi, Travelling, Melukis atau menggambar = Seni"
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline = Lifestyle
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Menambah pengetahuan","Membaca buku atau majalah = Literasi, Travelling"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas","Travelling, Menghadiri acara budaya atau edukasi"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi, Olahraga"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Travelling
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Melukis atau menggambar = Seni
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle"
"Perlengkapan Seni/Kreatif, Novel Fiksi, Mainan/Collectible item",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Belanja online/offline = Lifestyle, Melukis atau menggambar = Seni"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Olahraga
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah), Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Travelling, Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Website Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Olahraga"
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar = Seni
"Perlengkapan Seni/Kreatif, Alat Musik, Alat Olahraga",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Bermain game (offline/online) = Aktivitas Rekreasional, Olahraga"
Alat Musik,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain game (offline/online) = Aktivitas Rekreasional, Travelling"
Perlengkapan Kantor atau Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain game (offline/online) = Aktivitas Rekreasional, Olahraga, Bermain musik"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko Gramedia,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Olahraga
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline = Lifestyle, Melukis atau menggambar = Seni, Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Belanja online/offline = Lifestyle, Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Membaca buku atau majalah = Literasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Melukis atau menggambar = Seni
"Perlengkapan Seni/Kreatif, Alat Olahraga",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan",Belanja online/offline = Lifestyle
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle"
"Jurnal/Perencana (Planner), Alat Musik, Alat Olahraga",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Belanja online/offline = Lifestyle"
Novel Fiksi,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline = Lifestyle
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Belanja online/offline = Lifestyle"
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar = Seni, Menulis (diari, blog, atau lainnya), Travelling"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain musik
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik",Toko Gramedia,Hiburan atau relaksasi,"Melukis atau menggambar = Seni, Travelling"
"Alat Olahraga, Buku Anak, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Bermain game (offline/online) = Aktivitas Rekreasional, Belanja online/offline = Lifestyle"
"Jurnal/Perencana (Planner), Alat Olahraga",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Bermain musik, Membaca buku atau majalah = Literasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah, Buku Anak",Toko Gramedia,Hiburan atau relaksasi,"Melukis atau menggambar = Seni, Menghadiri acara budaya atau edukasi, Membaca buku atau majalah = Literasi"
"Novel Fiksi, Perlengkapan Seni/Kreatif",Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline = Lifestyle
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Olahraga, Membaca buku atau majalah = Literasi"
"Perlengkapan Kantor atau Sekolah, Buku Anak",Aplikasi Gramedia.com,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi"
"Alat Olahraga, Mainan/Collectible item, Novel Fiksi",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi",Membaca buku atau majalah = Literasi
"Komik/Novel Grafis, Novel Fiksi, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Belanja online/offline = Lifestyle
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Belanja online/offline = Lifestyle, Travelling, Olahraga"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Alat Musik",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah = Literasi, Olahraga"
Mainan/Collectible item,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Belanja online/offline = Lifestyle
Novel Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi,"Melukis atau menggambar = Seni, Bermain musik"
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Menambah pengetahuan",Bermain game (offline/online) = Aktivitas Rekreasional
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya)"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya), Bermain musik"
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Melukis atau menggambar = Seni, Bermain musik"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
"Alat Olahraga, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Melukis atau menggambar = Seni
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Melukis atau menggambar = Seni, Menulis (diari, blog, atau lainnya), Travelling"
"Alat Musik, Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar = Seni, Olahraga, Belanja online/offline = Lifestyle"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah",Olahraga
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain musik, Belanja online/offline = Lifestyle, Travelling"
"Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline = Lifestyle, Bermain game (offline/online) = Aktivitas Rekreasional"
Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya), Travelling"
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Melukis atau menggambar = Seni"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling
"Buku Anak, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Belanja online/offline = Lifestyle, Bermain musik"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Alat Musik",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle, Bermain game (offline/online) = Aktivitas Rekreasional"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Menulis (diari, blog, atau lainnya), Melukis atau menggambar = Seni"
"Novel Fiksi, Buku Anak",Toko buku independen lainnya,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Hiburan atau relaksasi","Bermain game (offline/online) = Aktivitas Rekreasional, Melukis atau menggambar = Seni"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah,Bermain game (offline/online) = Aktivitas Rekreasional
Jurnal/Perencana (Planner),Website Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling
"Jurnal/Perencana (Planner), Buku Anak",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Bermain game (offline/online) = Aktivitas Rekreasional, Membaca buku atau majalah = Literasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri",Travelling
Novel Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Mainan/Collectible item",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online) = Aktivitas Rekreasional, Olahraga"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline = Lifestyle
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar = Seni
Novel Fiksi,Aplikasi Gramedia.com,"Hiburan atau relaksasi, Menambah pengetahuan","Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Bermain game (offline/online) = Aktivitas Rekreasional, Olahraga"
"Mainan/Collectible item, Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Untuk mengekspresikan kreativitas","Belanja online/offline = Lifestyle, Travelling, Bermain game (offline/online) = Aktivitas Rekreasional"
"Perlengkapan Seni/Kreatif, Buku Anak",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Melukis atau menggambar = Seni"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Melukis atau menggambar = Seni
