Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)","Mainan, Alat Musik & kesenian, Alat Tulis kantor atau sekolah"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya), Bermain musik","Alat Olahraga, Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Melukis atau menggambar , Bermain musik","Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah ","Buku fiksi (novel, komik, buku anak)"
"Alat Olahraga, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Melukis atau menggambar ,"Buku fiksi (novel, komik, buku anak), Mainan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Travelling","Kesehatan dan Kecantikan, Mainan"
"Alat Musik, Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Mainan, Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Olahraga, Belanja online/offline","Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah",Olahraga,Mainan
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain musik, Belanja online/offline, Travelling",Alat Tulis kantor atau sekolah
"Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Bermain game (offline/online)",Alat Musik & kesenian
Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya), Travelling","Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Melukis atau menggambar ","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah, Alat Olahraga"
"Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling,"Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Anak, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Belanja online/offline, Bermain musik","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan, Alat Musik & kesenian"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Alat Musik",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Melukis atau menggambar , Belanja online/offline, Bermain game (offline/online)","Buku fiksi (novel, komik, buku anak)"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Menulis (diari, blog, atau lainnya), Melukis atau menggambar ","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Novel Fiksi, Buku Anak",Toko buku independen lainnya,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Hiburan atau relaksasi","Bermain game (offline/online), Melukis atau menggambar ",Alat Olahraga
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah,Bermain game (offline/online),"Alat Olahraga, Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama)"
Jurnal/Perencana (Planner),Website Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Mainan"
"Jurnal/Perencana (Planner), Buku Anak",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Bermain game (offline/online), Membaca buku atau majalah ","Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah , Bermain game (offline/online)","Buku fiksi (novel, komik, buku anak)"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri",Travelling,"Alat Musik & kesenian, Mainan"
Novel Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak)"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Mainan/Collectible item",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Olahraga",Mainan
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah ","Buku fiksi (novel, komik, buku anak)"
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline,"Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar ,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Novel Fiksi,Aplikasi Gramedia.com,"Hiburan atau relaksasi, Menambah pengetahuan","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)",Alat Olahraga
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Bermain game (offline/online), Olahraga","Alat Tulis kantor atau sekolah, Mainan"
"Mainan/Collectible item, Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Untuk mengekspresikan kreativitas","Belanja online/offline, Travelling, Bermain game (offline/online)",Alat Olahraga
"Perlengkapan Seni/Kreatif, Buku Anak",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Melukis atau menggambar ","Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Melukis atau menggambar ,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
Jurnal/Perencana (Planner),Website Gramedia.com,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan, Kesehatan dan Kecantikan"
"Alat Olahraga, Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi, Bermain game (offline/online)",Alat Tulis kantor atau sekolah
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi",Toko buku independen lainnya,Kado atau hadiah,Membaca buku atau majalah ,"Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah ","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Anak, Novel Fiksi, Mainan/Collectible item",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,"Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Olahraga"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Belanja online/offline",Alat Musik & kesenian
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Menambah pengetahuan","Olahraga, Menghadiri acara budaya atau edukasi","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Menulis (diari, blog, atau lainnya), Melukis atau menggambar ","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Mainan, Alat Tulis kantor atau sekolah"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Menambah pengetahuan,Membaca buku atau majalah ,"Alat Olahraga, Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)","Mainan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak), Alat Olahraga"
Alat Olahraga,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Bermain musik,"Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan"
"Mainan/Collectible item, Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Bermain musik","Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan, Mainan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi, Perlengkapan Seni/Kreatif",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Bermain musik","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko alat tulis lainnya,Menambah pengetahuan,Bermain game (offline/online),Mainan
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Belanja online/offline","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak)"
"Mainan/Collectible item, Alat Musik, Alat Olahraga",Toko buku independen lainnya,Kado atau hadiah,"Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)","Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Travelling, Bermain musik","Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama)"
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Bermain musik, Travelling, Melukis atau menggambar ",Kesehatan dan Kecantikan
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Membaca buku atau majalah , Melukis atau menggambar ","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Seni/Kreatif, Buku Anak",Website Gramedia.com,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Novel Fiksi",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Travelling, Belanja online/offline","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Bermain game (offline/online)","Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
"Komik/Novel Grafis, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Belanja online/offline, Travelling","Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
"Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah",Membaca buku atau majalah ,"Alat Tulis kantor atau sekolah, Mainan, Alat Musik & kesenian"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Toko alat tulis lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Buku fiksi (novel, komik, buku anak), Mainan"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak), Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menghadiri acara budaya atau edukasi, Belanja online/offline","Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline,"Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Alat Musik",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Olahraga, Belanja online/offline, Travelling","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak)"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Membaca buku atau majalah , Melukis atau menggambar ",Alat Tulis kantor atau sekolah
"Komik/Novel Grafis, Alat Olahraga, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Menambah pengetahuan","Bermain musik, Belanja online/offline","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Belanja online/offline, Bermain musik","Kesehatan dan Kecantikan, Alat Olahraga"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Menambah pengetahuan,"Bermain musik, Olahraga, Bermain game (offline/online)","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Melukis atau menggambar , Travelling","Buku non-fiksi (pengembangan diri, sejarah, agama)"
Novel Fiksi,Toko Gramedia,"Kado atau hadiah, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Travelling, Belanja online/offline","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,"Olahraga, Belanja online/offline, Menghadiri acara budaya atau edukasi","Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga, Perlengkapan Seni/Kreatif",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Alat Olahraga, Mainan"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Belanja online/offline","Alat Musik & kesenian, Alat Olahraga"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan",Melukis atau menggambar ,"Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Alat Olahraga",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar ,"Buku fiksi (novel, komik, buku anak), Mainan"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah","Belanja online/offline, Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi",Kesehatan dan Kecantikan
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,Hiburan atau relaksasi,"Belanja online/offline, Bermain game (offline/online)",Alat Musik & kesenian
Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,"Buku fiksi (novel, komik, buku anak), Mainan"
"Mainan/Collectible item, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Travelling, Melukis atau menggambar ","Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
"Novel Fiksi, Alat Musik, Buku Anak",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Olahraga, Melukis atau menggambar ","Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
Alat Olahraga,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Travelling,"Buku fiksi (novel, komik, buku anak)"
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak)"
Novel Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain musik, Menulis (diari, blog, atau lainnya), Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,Mainan
Buku Anak,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Olahraga, Travelling","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling,"Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
"Alat Olahraga, Mainan/Collectible item, Alat Musik",Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
